data_normalized,test_set,tr_epoch,pred,label,test_score
not normalized,0.3,20,"[1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1]","[1.451098918914795, 0.7777777910232544]"
not normalized,0.3,30,"[0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1]","[2.594336748123169, 0.5]"
not normalized,0.3,40,"[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1]","[11.70168685913086, 0.2222222238779068]"
not normalized,0.3,50,"[0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1]","[8.799936294555664, 0.3333333432674408]"
not normalized,0.3,60,"[0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1]","[5.523818016052246, 0.3333333432674408]"
not normalized,0.3,70,"[0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1]","[11.175286293029785, 0.2777777910232544]"
not normalized,0.3,80,"[0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1]","[1.6330301761627197, 0.6111111044883728]"
not normalized,0.3,90,"[0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1]","[1.603344440460205, 0.6111111044883728]"
not normalized,0.3,100,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1]","[2.0627856254577637, 0.8333333134651184]"
not normalized,0.4,20,"[0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1]","[3.023759126663208, 0.5833333134651184]"
not normalized,0.4,30,"[0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1]","[4.028287410736084, 0.4583333432674408]"
not normalized,0.4,40,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1]","[2.8861048221588135, 0.8333333134651184]"
not normalized,0.4,50,"[0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1]","[4.995530605316162, 0.5]"
not normalized,0.4,60,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1]","[22.154516220092773, 0.2083333283662796]"
not normalized,0.4,70,"[0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1]","[2.846461534500122, 0.5833333134651184]"
not normalized,0.4,80,"[0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1]","[3.2695648670196533, 0.5]"
not normalized,0.4,90,"[0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1]","[3.1765708923339844, 0.5416666865348816]"
not normalized,0.4,100,"[0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1]","[11.745070457458496, 0.2916666567325592]"
